|∑|,|s1|,|s2|,Fração de operações conservativas,CG_Best_objective,CG_Best_bound,CG_Gap,CG_Tempo_estruturas,CG_Tempo_modelo,CG_Tempo_total,CS_Best_objective,CS_Best_bound,CS_Gap,CS_Tempo_estruturas,CS_Tempo_modelo,CS_Tempo_total,CB_Best_objective,CB_Best_bound,CB_Gap,CB_Tempo_estruturas,CB_Tempo_modelo,CB_Tempo_total
15,60,60,0.8,4.600000000000e+01,4.600000000000e+01,0.0000%,0.283911,0.011229,0.295140,4.600000000000e+01,4.600000000000e+01,0.0000%,0.039469,0.010010,0.049479,4.600000000000e+01,4.600000000000e+01,0.0000%,0.033524,0.015287,0.048810
15,60,60,0.6,4.700000000000e+01,4.700000000000e+01,0.0000%,0.285942,0.009599,0.295541,4.700000000000e+01,4.700000000000e+01,0.0000%,0.039248,0.008695,0.047942,4.700000000000e+01,4.700000000000e+01,0.0000%,0.035172,0.019103,0.054276
15,60,60,0.8,4.600000000000e+01,4.600000000000e+01,0.0000%,0.284084,0.010034,0.294118,4.600000000000e+01,4.600000000000e+01,0.0000%,0.036030,0.008725,0.044756,4.600000000000e+01,4.600000000000e+01,0.0000%,0.034801,0.017836,0.052637
15,60,60,0.6,4.200000000000e+01,4.200000000000e+01,0.0000%,0.286781,0.011247,0.298028,4.200000000000e+01,4.200000000000e+01,0.0000%,0.044368,0.010155,0.054523,4.200000000000e+01,4.200000000000e+01,0.0000%,0.036961,0.017195,0.054156
15,60,60,0.8,4.800000000000e+01,4.800000000000e+01,0.0000%,0.284894,0.009548,0.294443,4.800000000000e+01,4.800000000000e+01,0.0000%,0.036796,0.008622,0.045418,4.800000000000e+01,4.800000000000e+01,0.0000%,0.035325,0.015712,0.051037
80,60,60,1,5.000000000000e+01,5.000000000000e+01,0.0000%,0.478900,0.198670,0.677570,5.000000000000e+01,5.000000000000e+01,0.0000%,0.113549,0.126572,0.240121,5.000000000000e+01,5.000000000000e+01,0.0000%,0.114191,0.219986,0.334176
80,60,60,2,5.400000000000e+01,5.400000000000e+01,0.0000%,0.443273,0.027688,0.470961,5.400000000000e+01,5.400000000000e+01,0.0000%,0.051533,0.019996,0.071529,5.400000000000e+01,5.400000000000e+01,0.0000%,0.054593,0.026329,0.080922
80,60,60,3,5.000000000000e+01,5.000000000000e+01,0.0000%,0.444442,0.024264,0.468706,5.000000000000e+01,5.000000000000e+01,0.0000%,0.059870,0.017121,0.076991,5.000000000000e+01,5.000000000000e+01,0.0000%,0.052968,0.021087,0.074055
80,60,60,4,5.000000000000e+01,5.000000000000e+01,0.0000%,0.453603,0.051539,0.505143,5.000000000000e+01,5.000000000000e+01,0.0000%,0.065037,0.033462,0.098499,5.000000000000e+01,5.000000000000e+01,0.0000%,0.065854,0.030007,0.095861
80,60,60,5,5.200000000000e+01,5.200000000000e+01,0.0000%,0.443981,0.028459,0.472440,5.200000000000e+01,5.200000000000e+01,0.0000%,0.052658,0.018858,0.071516,5.200000000000e+01,5.200000000000e+01,0.0000%,0.054153,0.043253,0.097406
60,80,80,1,5.400000000000e+01,5.400000000000e+01,0.0000%,0.474824,0.090352,0.565176,5.400000000000e+01,5.400000000000e+01,0.0000%,0.078689,0.068662,0.147351,5.400000000000e+01,5.400000000000e+01,0.0000%,0.084475,0.094854,0.179329
60,80,80,2,5.100000000000e+01,5.100000000000e+01,0.0000%,0.511638,0.080654,0.592292,5.100000000000e+01,5.100000000000e+01,0.0000%,0.110095,0.060227,0.170322,5.100000000000e+01,5.100000000000e+01,0.0000%,0.107019,0.052506,0.159526
60,80,80,3,5.600000000000e+01,5.600000000000e+01,0.0000%,0.451878,0.030510,0.482388,5.600000000000e+01,5.600000000000e+01,0.0000%,0.046014,0.018853,0.064868,5.600000000000e+01,5.600000000000e+01,0.0000%,0.050910,0.024250,0.075160
60,80,80,4,5.600000000000e+01,5.600000000000e+01,0.0000%,0.452618,0.036584,0.489202,5.600000000000e+01,5.600000000000e+01,0.0000%,0.050049,0.024085,0.074133,5.600000000000e+01,5.600000000000e+01,0.0000%,0.049778,0.032531,0.082309
60,80,80,5,5.500000000000e+01,5.500000000000e+01,0.0000%,0.453500,0.025413,0.478913,5.500000000000e+01,5.500000000000e+01,0.0000%,0.050794,0.017468,0.068262,5.500000000000e+01,5.500000000000e+01,0.0000%,0.053847,0.025383,0.079230
